Year,"White, NH",White,Black,Hispanic,Asian,All Races
2013,13796,13033,7103,9608,12674,11651
2012,13725,12916,6588,9174,13493,11490
2011,13412,12691,6264,9194,12817,11239
2010,13038,12389,5988,8946,12377,10994
2009,13540,12875,6657,9629,12216,11552
2008,13554,12882,6864,9478,12281,11656
2007,13379,12828,6609,9839,13238,11551
2006,13129,12608,6277,9671,13574,11352
2005,12371,11886,5958,9160,11665,10655
2004,11798,11334,5640,8678,12117,10244
2003,11556,11096,5822,8588,9226,9996
2002,11422,11023,5769,8614,11453,9990
2001,11463,11118,5951,8822,,10136
2000,11370,11039,6216,8885,,10157
1999,11328,10913,5897,8240,,9915
1998,10808,10262,5194,6891,,9223
1997,10245,9730,5253,6492,,8839
1996,9965,9520,5048,6473,,8595
1995,9770,9233,4814,5881,,8345
1994,8971,8585,4421,5780,,7714
1993,8615,8283,4118,5889,,7359
1992,8518,8191,3907,5674,,7256
1991,8434,8150,3841,5727,,7226
1990,8344,8052,3823,5618,,7166
1989,8105,7828,3785,5199,,6994
1988,7557,7270,3645,4743,,6465
1987,7159,6903,3434,4581,,6132
1986,6664,6450,3128,4487,,5774
1985,6379,6189,3379,4478,,5614
1984,6215,6019,3205,4093,,5436
1983,5811,5637,2923,3984,,5053
1982,5408,5280,2810,3872,,4790
1981,5172,5089,2727,4009,,4602
1980,4845,4750,2574,3545,,4310
1979,4452,4391,2457,3523,,4006
1978,4055,4004,2352,3251,,3685
1977,3637,3598,2235,3050,,3335
1976,3466,3409,2077,2652,,3152
1975,3184,3139,1908,2447,,2909
1974,3031,3004,1802,2619,,2783
1973,2752,2732,1650,2396,,2539
1972,2482,2467,1471,2296,,2283
